"CNT","Mean_MATH_2018","Mean_READ_2018","Mean_SCIE_2018","SD_MATH_2018","SD_READ_2018","SD_SCIE_2018","Mean_MATH_2022","Mean_READ_2022","Mean_SCIE_2022","SD_MATH_2022","SD_READ_2022","SD_SCIE_2022","Country","Region 3","Distance learning modalities (Global)","closure_large_count","closure_restricted_count","income_status","Radio","TV","Online"
"MDA",420.60399887257,423.992965737888,428.485266806617,94.42855198899,93.3224300318237,88.9562919525499,414.198,410.935,416.86,79.544,87.141,82.972,"Republic of Moldova","WB: Lower middle income","Online + TV",112,112,0,0,1,1
"MEX",408.801473754764,420.468892771176,419.204719582488,77.5666098098795,83.5092015775702,74.4288840038227,395.029,415.359,409.887,69.392,84.326,74.9,"Mexico","WB: Upper middle income","TV + Online + Radio",568,374,0,1,1,1
"MKD",394.446829905938,392.66776940308,413.04467363207,93.4949552536416,94.3052483433905,91.7989926872677,388.577,358.522,379.875,82.709,75.539,81.854,"North Macedonia","WB: Upper middle income","Online + TV",377,142,0,0,1,1
"MLT",471.724415048668,448.234760109878,456.59032278181,101.860742687306,112.814438535868,106.876546936878,466.016,445.3,465.589,98.524,111.33,102.282,"Malta","WB: High income","Online",145,129,1,0,0,1
"MNE",429.611542426075,421.057573198018,415.172231156269,83.2839683487873,86.0131669269311,81.3894763721794,405.601,405.02,403.13,81.638,89.195,83.524,"Montenegro","WB: Upper middle income","Online + TV",388,132,0,0,1,1
"MYS",440.207536711114,414.979514206288,437.618073671563,83.0674973619703,84.8304863664519,76.7730515305282,408.685,388.087,416.307,75.728,85.919,78.597,"Malaysia","WB: Upper middle income","Online + TV",481,291,0,0,1,1
"NLD",519.230982676555,484.783725370563,503.383819750004,93.2829626610765,104.806362503211,104.411132621799,492.677,459.243,488.317,106.096,114.877,112.255,"Netherlands","WB: High income","Online",215,81,1,0,0,1
"NOR",500.963788355958,499.450956276389,490.413149272613,90.4790713833636,105.669647304226,98.4490949921528,468.45,476.525,478.226,93.465,112.385,105.995,"Norway","WB: High income","Online + TV",206,34,1,0,1,1
"NZL",494.48967597921,505.727283443834,508.490721422846,93.1794288242787,106.298958078614,102.29833259882,479.074,500.852,504.129,98.52,109.057,107.236,"New Zealand","WB: High income","Online + TV",189,54,1,0,1,1
"PAN",352.846255737033,376.97131666198,364.623772485536,77.4709838309405,87.7933746169507,85.4416382020442,356.573,391.953,387.767,65.367,93.886,87.707,"Panama","WB: High income","TV + Online + Radio",612,386,1,1,1,1
"PER",399.837674812825,400.513705934173,404.215601330199,84.4195332403423,91.8102401307561,80.1344184179435,391.236,408.248,407.779,77.904,91.114,85.701,"Peru","WB: Upper middle income","TV + Online + Radio",540,240,0,1,1,1
"PHL",352.56706710003,339.691589979018,356.93332361926,78.4740752392453,79.866557899985,75.1619041176797,354.719,346.549,356.169,64.667,85.243,77.503,"Philippines","WB: Lower middle income","TV + Online + Radio",532,526,0,1,1,1
"POL",515.647874629702,511.855695357742,511.035561794179,90.0952932274987,97.3355015010106,91.5144661908979,488.96,488.714,499.164,89.459,103.995,96.185,"Poland","WB: High income","Online + TV",311,180,1,0,1,1
"PRT",492.487406111795,491.800785136836,491.677328515615,96.3755491249674,96.0850993607818,91.9774127058602,471.91,476.589,484.373,89.631,93.536,92.036,"Portugal","WB: High income","Online + TV",169,83,1,0,1,1
"QAT",414.228717674269,407.091792090258,419.12715488325,98.0908171188883,109.615186608435,103.048066600491,414.106,419.306,432.402,88.755,105.692,96.882,"Qatar","WB: High income","Online + TV",421,175,1,0,1,1
"ROU",429.916827074465,427.703145850644,425.761227085172,94.0385086528572,98.3793696866116,90.1322854218624,427.758,428.497,427.512,98.526,100.352,96.147,"Romania","WB: High income","Online + TV",249,154,1,0,1,1
"SAU",373.238805740545,399.151658578594,386.246144966175,78.6934367767587,84.3808255026588,78.6768356060957,388.781,382.552,390.388,65.578,78.863,69.558,"Saudi Arabia","WB: High income","Online + TV",479,349,1,0,1,1
"SGP",569.007779801711,549.464707794459,550.936899986806,94.0488371436509,108.94581347274,97.4579430607287,574.664,542.553,561.433,102.797,105.892,99.093,"Singapore","WB: High income","Online",115,27,1,0,0,1
"SRB",448.283056298286,439.466341206062,439.873889462626,96.6937834343737,96.4201721713351,91.5883696081688,439.877,440.356,447.461,89.573,90.796,90.976,"Serbia","WB: Upper middle income","Online + TV",344,193,0,0,1,1
"SVK",486.164854293563,457.98396704075,464.047578343492,99.571494791529,100.332186640022,95.8291766289315,463.994,446.86,462.272,101.086,104.724,103.309,"Slovakia","WB: High income","Online + TV",267,71,1,0,1,1
"SVN",508.897544084899,495.345615126039,507.006545970779,88.9862574481128,93.6044907969363,88.0739648061684,484.529,468.536,499.966,89.232,96.537,94.197,"Slovenia","WB: High income","Online + TV",331,145,1,0,1,1
"SWE",502.387702056849,505.785220598166,499.444690059302,90.6920437451063,107.534569461805,97.9721425635098,481.766,486.976,493.551,95.602,110.772,108.276,"Sweden","WB: High income","Online",167,0,1,0,0,1
"THA",418.555501679601,392.888640988081,425.813449977137,87.8079642026956,78.9209390600665,81.7646233672062,393.945,378.664,409.265,75.685,80.194,81.538,"Thailand","WB: Upper middle income","Online + TV",486,115,0,0,1,1
"TUR",453.507777946147,465.63166649861,468.299618695694,88.1558597484967,87.6625322094468,83.5267927877928,453.151,456.084,475.937,89.811,86.533,89.366,"Turkey","WB: Upper middle income","Online + TV",345,196,0,0,1,1
"URY",417.66161727969,427.117618198351,425.812676624091,85.3345510534822,95.9174887522127,86.5241874944906,408.711,430.359,435.384,83.231,99.208,91.616,"Uruguay","WB: High income","Online + TV",281,67,1,0,1,1
"USA",478.244717377202,505.352771050065,502.380032000918,92.1414840353621,107.894522102691,99.0756020650732,464.889,503.938,499.413,94.513,111.434,108.128,"United States of America","WB: High income","Online + TV",539,0,1,0,1,1
